method,dt,orbit_count,time,e_r,e_v,e_R,e_T,Δr,Δθ,ρ_R,ρ_T,χ,δε,δh
Euler,15.0,5.0,27765.0,13541.94718054925,10.639508042986863,-8678.548382859237,10395.534204991925,3789.6770990111136,-10.81476052425014,0.4107068505824591,0.5892931494175409,1.1978425131009076,0.3814048317024035,0.27038090329933084
Euler,15.0,10.0,55530.0,18362.81032248795,12.279014821964022,-16059.51756266942,8904.19556130605,6083.772801545031,-29.038994130867223,0.7648683545355269,0.235131645464473,0.5544497539579882,0.4884001605299933,0.39638688221497903
Euler,15.0,20.0,111075.0,22978.328525759116,12.601024067993238,-22917.796704557524,1666.7861429371253,9447.361187273178,-72.35953891551438,0.9947383386366094,0.005261661363390348,0.07272889992106708,0.5845864119752014,0.5491190579936542
Euler,15.0,50.0,277680.0,22491.361356791353,7.755996894171567,-1510.7361587328799,-22440.566212563896,16272.340729605647,-221.25172909704946,0.004511757630630157,0.9954882423693697,14.854060441226068,0.6888265729706301,0.7894679957587203
Euler,15.0,100.0,555362.4318623783,20598.175168966874,3.8580957715109507,20346.752902438686,-3208.499122416359,20535.854265246584,-490.2061930360067,0.9757368962399477,0.024263103760052557,0.1576909661114428,0.7517763071502991,1.0024064803523083
Euler,7.5,1.0,5550.0,3210.4305262109488,3.3011909308844767,-24.97031502040575,-3210.333416795659,699.2623421585531,-0.44375991143311566,6.049527987558905e-05,0.9999395047201245,128.56599583033588,0.08822759897624263,0.04724659056057725
Euler,7.5,5.0,27765.0,8765.126966873817,7.433514593526845,-2463.8900954472083,-8411.699967484323,2675.403220278279,-7.38007809430535,0.07901803773965345,0.9209819622603467,3.4139915506083307,0.27273653682488097,0.1724911250752256
Euler,7.5,10.0,55537.5,17478.701521918938,13.433667311799486,-16964.8141424442,-4207.147252552099,4243.136937664912,-21.59948161897691,0.9420628546003023,0.057937145399697784,0.24799253426692455,0.38075212436564615,0.2704066425434607
Euler,7.5,20.0,111075.0,15171.833800400202,9.440951506326309,-6947.059483985699,-13487.879944340042,6710.800697184545,-58.131987457101104,0.20966497268784098,0.7903350273121588,1.9415236008029275,0.486961652205745,0.3958068143954271
Euler,7.5,50.0,277680.0,24234.586241994904,12.420021129405908,-24132.38941280182,-2223.274960408485,10717.949086802877,-191.50973467248986,0.9915838176853488,0.008416182314651223,0.09212825644314673,0.6114077055294427,0.6035111170526531
Euler,7.5,100.0,555362.4318623783,26967.083938011136,10.793623985793904,-20408.105347562752,-17627.616181506753,15504.34242662758,-442.05196284833414,0.5727134744323865,0.4272865255676133,0.86375564420594,0.6884666354449356,0.7907214279016344
Euler,3.75,1.0,5553.75,1672.9633292675016,1.7867508464231796,157.21927666677013,-1665.5594856138227,354.4119892758081,-0.23569139734630884,0.008831586861205444,0.991168413138795,10.593863048638841,0.048235719206473675,0.025025637444736095
Euler,3.75,5.0,27768.75,11314.477022539906,11.036849686003407,-7889.1735903284725,8110.384106517228,1407.9935059408872,-4.576246985505325,0.48617660300372323,0.5138233969962768,1.0280397577332996,0.17802977693759828,0.10294301372820043
Euler,3.75,10.0,55537.5,14282.779265972567,12.509209395721102,-11940.424755724367,-7837.3490552214525,2606.598216631438,-14.719618372657905,0.6988984922222689,0.3011015077777313,0.65637104337215,0.27286644199595095,0.17264863509502565
Euler,3.75,20.0,111071.25,7338.754657475217,5.123035023806408,1350.5787105666507,7213.408145195884,4089.6721707754705,-43.25648812454729,0.03386842969640548,0.9661315703035948,5.34097575266044,0.38012166496611793,0.27009394263930486
Euler,3.75,50.0,277680.0,7321.835548064194,2.352300962618354,7316.423742840103,-281.4594253211476,7319.233745699762,-157.0995993905062,0.9985222816960231,0.0014777183039769329,0.03846953582979465,0.5191757804979947,0.4420809724768812
Euler,3.75,100.0,555362.4318623783,10859.659079264893,3.1939855365781735,10174.96210791474,3795.041688882962,10594.540133451228,-383.0540790704594,0.8778760847999031,0.12212391520009683,0.3729784591463917,0.6110448964170407,0.6033265085860688
Euler,1.875,1.0,5553.75,853.3673532054086,0.9299396647369803,127.41447831665033,-843.8017481802822,178.77629613309,-0.12158904627774536,0.022292845811428288,0.9777071541885717,6.622495020411,0.025316354986896206,0.01290361641419219
Euler,1.875,5.0,27768.75,13900.908111258248,14.425137505204953,-13387.09139932886,-3744.4666086988423,817.8690845202673,-2.6261132330658548,0.9274406173260313,0.0725593826739686,0.2797072565655722,0.1061501328499331,0.05769399032653044
Euler,1.875,10.0,55535.625,14896.839111755167,14.488379008116643,-14734.076559967278,-2196.088214653805,1475.3336474545385,-9.155453226068587,0.9782674189525097,0.02173258104749044,0.14904824240024733,0.1779547515696452,0.10292077032219654
Euler,1.875,20.0,111073.125,13434.784310077366,11.841430896636854,-10343.354466629962,8573.706773382617,2507.2937073129533,-29.451050909865714,0.5927361563434114,0.4072638436565884,0.8289096927929295,0.2727447557116483,0.1726025338523865
Euler,1.875,50.0,277681.875,7209.343599363407,4.407556906881265,2738.1462019899395,-6669.122169387076,4842.398120668328,-119.99179132724382,0.1442519914606042,0.8557480085393956,2.4356340667785785,0.41513453658221366,0.30758240522607994
Euler,1.875,100.0,555362.4318623783,7319.219957599451,2.3545404199746054,7315.0867801653585,245.93939573016232,7317.232548337158,-314.1418162331831,0.9988709150834517,0.0011290849165483295,0.03362084458068491,0.5191936756097105,0.44215059910896826
RK4,60.0,1.0,5580.0,0.028783106907494877,3.259688716877306e-05,-0.0017098325015545426,0.028732276555555204,-0.0017097716045100242,4.2389647472163006e-06,0.0035288385958503455,0.9964711614041498,16.804146914643653,-2.529973584210042e-07,-1.2649865525928308e-07
RK4,60.0,5.0,27780.0,0.3045920147279121,0.0003445382327356026,-0.008541740126470286,0.30447222223319564,-0.008534901709936094,4.491980695675579e-05,0.0007864220493528636,0.9992135779506472,35.64522190152524,-1.2595523472791632e-06,-6.297755787095775e-07
RK4,60.0,10.0,55560.0,1.011579872263918,0.00114441615778988,-0.017145750438956376,1.0114345560694322,-0.017070287045498844,0.00014922051688870397,0.00028728479270266,0.9997127152072972,58.99039296474188,-2.519120558857407e-06,-1.2595578998376131e-06
RK4,60.0,20.0,111060.0,3.6296202280705554,0.0041062756756416255,-0.03510658162195247,3.629450444343575,-0.034134856071432296,0.0005354670309998255,9.355235275471341e-05,0.9999064476472455,103.38376101175416,-5.035584069698212e-06,-2.517782526214487e-06
RK4,60.0,50.0,277680.0,21.140314039792553,0.02391752925228537,-0.1183078239463861,21.139982993366935,-0.08534112567849661,0.0031188929095833373,3.13187243091523e-05,0.9999686812756909,178.6862634118518,-1.2590796135919886e-05,-6.295338620489959e-06
RK4,60.0,100.0,555362.4318623783,82.49911690348131,0.09333838396482891,-0.6727506757839762,82.4963738377785,-0.17068977358758275,0.012171558105819713,6.649816877511981e-05,0.9999335018312246,122.62547895866928,-2.518317817095631e-05,-1.2591351268376298e-05
RK4,30.0,1.0,5550.0,0.0015461074969679335,1.747783642576926e-06,-5.329088310693852e-05,0.0015451888149860945,-5.329070791049162e-05,2.279665984872281e-07,0.001188027414273919,0.998811972585726,28.995368905510023,-7.858120131889963e-09,-3.9290599134270844e-09
RK4,30.0,5.0,27780.0,0.012756431244908436,1.4431974321912141e-05,-0.00026654422964827844,0.012753646234693723,-0.0002665322308530449,1.881585856011725e-06,0.0004365964346422813,0.9995634035653577,47.84814231965534,-3.933308150144487e-08,-1.96665402779796e-08
RK4,30.0,10.0,55530.0,0.038055276684978,4.305018406251852e-05,-0.0005330775470299008,0.03805154283204667,-0.0005329707391865668,5.61386499953187e-06,0.00019622349803547932,0.9998037765019643,71.38087703009619,-7.862369895580072e-08,-3.9311847264057e-08
RK4,30.0,20.0,111060.0,0.12632869569185465,0.0001429180303749513,-0.001067125983877678,0.12632418848874408,-0.0010659488316377974,1.8637010157362965e-05,7.135548548190214e-05,0.9999286445145177,118.37795199186556,-1.5724746968263871e-07,-7.862372546370226e-08
RK4,30.0,50.0,277680.0,0.6926074364667125,0.0007835886253354591,-0.0027002969062553885,0.6926021725677802,-0.0026649112269296893,0.00010218182859489389,1.5200180223213752e-05,0.9999847998197766,256.4911180556955,-3.9316161080676127e-07,-1.965807474725613e-07
RK4,30.0,100.0,555362.4318623783,2.641034662022011,0.0029879753373376937,-0.005844353523560668,2.641028195520375,-0.005329828981302853,0.00038963955967119546,4.896939682160733e-06,0.9999951030603176,451.89398363282623,-7.863247799149837e-07,-3.9316215817053944e-07
RK4,15.0,1.0,5550.0,8.880447889939052e-05,1.0041644020626678e-07,-1.6650724940397374e-06,8.878886758024279e-05,-1.6650719771860167e-06,1.3099297646590458e-08,0.0003515576500401363,0.9996484423499599,53.32432545614066,-2.455235230173424e-10,-1.2276179283640853e-10
RK4,15.0,5.0,27765.0,0.0006008788856762873,6.7973029895842e-07,-8.326224771568855e-06,0.000600821195725176,-8.326197530550417e-06,8.864100209393655e-08,0.0001920093486430463,0.9998079906513572,72.16009802867323,-1.2282820409016097e-09,-6.141409968305846e-10
RK4,15.0,10.0,55530.0,0.0015940127814888679,1.8032689371776186e-06,-1.6652697411616964e-05,0.001593925793510725,-1.6652510566927958e-05,2.3515689662190198e-07,0.00010914041043127405,0.9998908595895686,95.71577229276971,-2.456562269403288e-09,-1.2282811537809452e-09
RK4,15.0,20.0,111075.0,0.004757872302625639,5.382827408781024e-06,-3.330746491796607e-05,0.004757755716813646,-3.330579602334183e-05,7.019269503416581e-07,4.900694099411009e-05,0.9999509930590058,142.84352557397156,-4.913790414541419e-09,-2.456895180090656e-09
RK4,15.0,50.0,277680.0,0.023665188659496923,2.677386730233516e-05,-8.33049899338596e-05,0.023665042036054653,-8.326367787958588e-05,3.4913782087642176e-06,1.2391448904649805e-05,0.9999876085510953,284.0771249698683,-1.2284121712166934e-08,-6.142060875479421e-09
RK4,15.0,100.0,555362.4318623783,0.0865677449823139,9.793969768374397e-05,-0.00016708034127043542,0.08656758374520161,-0.00016652753856760683,1.2771595152116788e-05,3.7251048219966915e-06,0.9999962748951781,518.1195051851357,-2.456826674387965e-08,-1.2284133229321902e-08
RK4,7.5,1.0,5550.0,5.305681584988755e-06,5.999901590289899e-09,-5.2089298143945765e-08,5.305425881708994e-06,-5.208949005464092e-08,7.8272321957229e-10,9.638615282602067e-05,0.9999036138471739,101.85251233464034,-7.677930243257619e-12,-3.838952523718498e-12
RK4,7.5,5.0,27765.0,3.142731165494337e-05,3.555273548720541e-08,-2.6019824802704784e-07,3.142623449808557e-05,-2.6019733923021704e-07,4.636461881091236e-09,6.854791845410936e-05,0.9999314520815463,120.7780403456782,-3.837962260333365e-11,-1.9190003297323343e-11
RK4,7.5,10.0,55537.5,7.511601965231964e-05,8.498314715211125e-08,-5.204155651949164e-07,7.511421687035799e-05,-5.204146873438731e-07,1.1081915829436184e-08,4.799935717143838e-05,0.9999520006428284,144.33506969036316,-7.67732610994711e-11,-3.8386725636438423e-11
RK4,7.5,20.0,111075.0,0.0001992742611331091,2.2545180113630755e-07,-1.0407315512519769e-06,0.00019927154344759007,-1.0407293302705511e-06,2.9399217282843892e-08,2.7275644850215098e-05,0.9999727243551495,191.47256870215074,-1.5354483062567278e-10,-7.677233143257823e-11
RK4,7.5,50.0,277680.0,0.0008660140523505029,9.797753707840335e-07,-2.6019345953447245e-06,0.0008660101435923837,-2.601878804853186e-06,1.2776439461958944e-07,9.026988159003469e-06,0.999990973011841,332.8331715723423,-3.838663054973555e-10,-1.9193320824208014e-10
RK4,7.5,100.0,555362.4318623783,0.0029581624175165715,3.346760962000477e-06,-5.2044279072899565e-06,0.0029581578393212296,-5.20378216606332e-06,4.364239885035204e-07,3.0952944113305122e-06,0.9999969047055887,568.392509612377,-7.677372024078709e-10,-3.8386851618472017e-10
RK4,3.75,1.0,5553.75,3.239208957637921e-07,3.6649809809559204e-10,-1.6510588603917763e-09,3.2391668792616563e-07,-1.6507328837178648e-09,4.780797979719864e-11,2.5980480733965685e-05,0.999974019519266,196.18724425687896,-2.44553164094003e-13,-1.223425526246114e-13
RK4,3.75,5.0,27768.75,1.7736927371485891e-06,2.006723111656636e-09,-8.204104953639636e-09,1.7736737632596258e-06,-8.204551704693586e-09,2.617355221445905e-10,2.1394672346770447e-05,0.999978605327653,216.19345111775544,-1.206333394424173e-12,-6.030340008087252e-13
RK4,3.75,10.0,55537.5,3.929571039920439e-06,4.445802625174304e-09,-1.628134188112283e-08,3.929537310636959e-06,-1.628086465643719e-08,5.796607638330897e-10,1.71668298548347e-05,0.9999828331701449,241.35217719326963,-2.394301136208875e-12,-1.197249259265791e-12
RK4,3.75,20.0,111071.25,9.392585915966851e-06,1.062631966146356e-08,-3.24340493932443e-08,9.392529915909709e-06,-3.2433490559924394e-08,1.3856151781510562e-09,1.1924275317699162e-05,0.9999880757246826,289.5885679284339,-4.7934353389018215e-12,-2.396738199128829e-12
RK4,3.75,50.0,277680.0,3.497016477529731e-05,3.956385432614204e-08,-8.110905328826163e-08,3.4970070713867866e-05,-8.110873750410974e-08,5.140009307069704e-09,5.379517285127107e-06,0.9999946204827145,431.1487965416661,-1.1996516800099445e-11,-5.9984245595764844e-12
RK4,3.75,100.0,555362.4318623783,0.00010829734016622511,1.2252365443252018e-07,-1.6246576706137801e-07,0.00010829721830201184,-1.6246485756710172e-07,1.6073840924946126e-08,2.2505473268345157e-06,0.9999977494526733,666.584845908481,-2.398965045366004e-11,-1.1994889398630378e-11
RK4,1.875,1.0,5553.75,1.9974699875924535e-08,2.2575250604327353e-11,-4.6272485125749656e-11,1.9974646279480895e-08,-4.638422979041934e-11,2.937206033948314e-12,5.366425735403705e-06,0.9999946335742648,431.67437895755955,-9.666132968142412e-16,-5.599201493117226e-16
RK4,1.875,5.0,27768.75,1.0205260797121584e-07,1.1547357866838798e-10,-2.5304421867310445e-10,1.0205229425324088e-07,-2.5283952709287405e-10,1.354649725726631e-11,6.148152389098886e-06,0.9999938518476108,403.2982645814852,-3.177741213276818e-14,-1.5957724255384096e-14
RK4,1.875,10.0,55535.625,2.1272368428679862e-07,2.4075864455285177e-10,-3.3249575990888965e-10,2.1272342443445015e-07,-3.319655661471188e-10,1.0167866548727034e-11,2.4430959875963335e-06,0.9999975569040126,639.777856092783,-5.086802474484944e-14,-2.547636679368338e-14
RK4,1.875,20.0,111073.125,4.638924962779913e-07,5.2493677120578e-10,-8.78094312947598e-10,4.6389166521226017e-07,-8.776623872108757e-10,2.099653784171096e-10,3.5830068099596734e-06,0.9999964169931898,528.2936677440294,-1.2396815531642643e-13,-6.201115653627328e-14
RK4,1.875,50.0,277681.875,1.5515636132733775e-06,1.755310357469574e-09,-2.5510912470256026e-09,1.5515615160113336e-06,-2.5511326384730637e-09,4.18367562815547e-11,2.703415584592191e-06,0.9999972965844152,608.1952254041669,-3.754084391502309e-13,-1.8771323005675502e-13
RK4,1.875,100.0,555362.4318623783,4.268087550556335e-06,4.828748603459058e-09,-4.571120371093969e-09,4.2680851027214216e-06,-4.571120371110737e-09,-3.1946001399774104e-11,1.1470402996226983e-06,0.9999988529597001,933.7065656181737,-7.238725326517649e-13,-3.619883765300287e-13
Velocity Verlet,60.0,1.0,5580.0,65.14566092854344,0.07394618868389283,-0.3101276071462331,-65.1449227391056,0.002934605169684801,-0.009611180402961494,2.266260699412398e-05,0.999977337393006,210.0584444531186,1.0009667333830192e-09,1.3998003732793065e-16
Velocity Verlet,60.0,5.0,27780.0,326.40505460124837,0.369295256855014,-7.85910426165556,-326.3104260507904,6.558119821420405e-06,-0.048160224705494414,0.0005797387765650722,0.9994202612234349,41.520053073077754,2.239038875408088e-12,1.1198402986234452e-15
Velocity Verlet,60.0,10.0,55560.0,652.6208527674404,0.7383763731838758,-31.418192185584147,-651.864153537139,2.623246291477699e-05,-0.09632044941601947,0.002317610720552159,0.9976823892794477,20.747984151559137,8.952289048445095e-12,2.2396805972468905e-15
Velocity Verlet,60.0,20.0,111060.0,1304.0811898299728,1.4748386031077352,-125.43414792704696,-1298.0346775807543,0.015348699590504111,-0.19269298513631838,0.009251716296674897,0.9907482837033248,10.348335752523283,5.235267510582534e-09,3.3595208958703357e-15
Velocity Verlet,60.0,50.0,277680.0,3233.6061845040003,3.6573095052095583,-771.2599686944553,-3140.281359552349,0.05882827009099856,-0.48170589708837497,0.056888872610271125,0.943111127389729,4.071624986407679,2.0065114560837466e-08,-4.1994011198379196e-16
Velocity Verlet,60.0,100.0,555362.4318623783,6280.589909891661,7.103501981133746,-2909.5533652351314,-5565.995762761759,0.22918738265161664,-0.9634077182525971,0.21461090208343225,0.7853890979165675,1.9130069340769595,7.994518414648773e-08,3.4995009331982665e-15
Velocity Verlet,30.0,1.0,5550.0,16.351950564340402,0.018489656166214775,-0.019702567373399524,-16.35193869446285,2.1605157598969527e-05,-0.002412455591199958,1.4517990622603064e-06,0.9999985482009379,829.9394888272091,1.8363236106228546e-12,-6.999001866396533e-16
Velocity Verlet,30.0,5.0,27780.0,81.71509862185593,0.09247275399812512,-0.49245988621197856,-81.71361469204574,0.00010594292143650819,-0.012055759988729875,3.6319269297479345e-05,0.9999636807307025,165.92948376077933,9.009440059619236e-12,-5.599201493117226e-16
Velocity Verlet,30.0,10.0,55530.0,163.47140345292274,0.18491713459382136,-1.97108933702646,-163.45951961783598,0.00016764308747951873,-0.024118037670000092,0.00014538815814682423,0.9998546118418532,82.92851904136788,1.4264554074411959e-11,2.939580783886544e-15
Velocity Verlet,30.0,20.0,111060.0,326.9190385376039,0.3698073686178698,-7.883210953601733,-326.8239782259135,0.000670543475280283,-0.04823607404402708,0.0005814680691113936,0.9994185319308887,41.458230681571706,5.704456288483034e-11,6.859021829068602e-15
Velocity Verlet,30.0,50.0,277680.0,816.8375905621751,0.9240730204271094,-49.21783446423327,-815.3534534949067,0.0009736945921758888,-0.12058366828307499,0.003630559605746672,0.9963694403942533,16.5662195903281,8.282123967097571e-11,3.2195408585424052e-15
Velocity Verlet,30.0,100.0,555362.4318623783,1630.7069751547563,1.844788066763371,-196.15692713376757,-1618.8661769138957,0.0035546332537705894,-0.24116731796175372,0.014469563876032298,0.9855304361239677,8.252913626700135,3.3098071714873054e-10,-2.5196406719027518e-15
Velocity Verlet,15.0,1.0,5550.0,4.089330957363353,0.004624185089743293,-0.0012291608891855758,-4.089330772634294,4.410198926052544e-06,-0.0006033119451638314,9.034683546858403e-08,0.9999999096531645,3326.928808598706,9.219074318365825e-14,-8.398802239675839e-16
Velocity Verlet,15.0,5.0,27765.0,20.4411257622203,0.02312404115028218,-0.03081811840912871,-20.44110253069741,4.482434633246157e-06,-0.0030157451083887565,2.2730166583118163e-06,0.9999977269833417,663.2819778070066,9.388231645308317e-14,-5.599201493117226e-16
Velocity Verlet,15.0,10.0,55530.0,40.88220501085695,0.046248029644503134,-0.1232721931923581,-40.882019158991184,1.7929634850588627e-05,-0.0060314902051956665,9.092045953348184e-06,0.9999909079540463,331.64023532215003,3.778249723922665e-13,-1.6797604479351678e-15
Velocity Verlet,15.0,20.0,111075.0,81.7585167650381,0.09249876302403107,-0.49308939647494265,-81.75702982903731,7.265953172463924e-09,-0.012062165815748926,3.63735189483624e-05,0.9999636264810512,165.8056944917329,-5.195546470376546e-15,-2.6596207092306826e-15
Velocity Verlet,15.0,50.0,277680.0,204.39254727123233,0.23123798541571236,-3.081676444917061,-204.36931435592717,1.9408975276746787e-05,-0.030155821835251118,0.0002273233069842373,0.9997726766930157,66.31757681537768,4.089982512145258e-13,-1.8197404852630987e-15
Velocity Verlet,15.0,100.0,555362.4318623783,408.7386053441675,0.4624234156178553,-12.323926109771278,-408.5527730219635,5.373149542720057e-05,-0.0603116401528041,0.0009090899445164349,0.9990909100554836,33.151186511742715,1.640463591355869e-12,2.09970055991896e-15
Velocity Verlet,7.5,1.0,5550.0,1.0224168453788918,0.0011561571000319164,-7.606625668885817e-05,-1.022416842549285,1.0446219675941393e-06,-0.00015084039260937487,5.535133457565712e-09,0.9999999944648665,13441.135229401183,3.987279849358745e-15,-8.398802239675839e-16
Velocity Verlet,7.5,5.0,27765.0,5.110703773215319,0.00578156625366656,-0.0019258867444640372,-5.1107034103455415,8.442339094472118e-07,-0.0007539983175206544,1.420038338835944e-07,0.999999857996166,2653.688450287257,8.337039685022829e-15,1.959720522591029e-15
Velocity Verlet,7.5,10.0,55537.5,10.220716649832355,0.011563522128481033,-0.007705815610871755,-10.220713744967426,6.64658728055656e-08,-0.0015078948121640678,5.684267776052152e-07,0.9999994315732224,1326.3636532578753,-2.658186566239163e-15,-1.5397804106072372e-15
Velocity Verlet,7.5,20.0,111075.0,20.4414274855033,0.02312703767794198,-0.03082324448662017,-20.441404246594438,2.662827682797797e-07,-0.003015789623916021,2.2737057546321757e-06,0.9999977262942454,663.1814588976086,-5.799679780885447e-15,-3.4995009331982665e-15
Velocity Verlet,7.5,50.0,277680.0,51.1041572035886,0.057817088714729785,-0.19265073071644884,-51.10379407818025,6.485261110356078e-07,-0.007539575885459726,1.421113811896924e-05,0.999985788861881,265.2665468131387,-8.21621302292105e-15,-5.879161567773088e-15
Velocity Verlet,7.5,100.0,555362.4318623783,102.20756463733473,0.11563336911475038,-0.7705937573368297,-102.20465965089905,4.538078428595327e-07,-0.015079148283689392,5.684403424782981e-05,0.9999431559657523,132.63105063830017,1.8848959287877702e-14,3.2195408585424052e-15
Velocity Verlet,3.75,1.0,5553.75,0.25552319968382675,0.00028909500649699186,-4.81615046838534e-06,-0.2555231996384389,2.2464519133791327e-10,-3.769814621623624e-05,3.552543623653589e-10,0.9999999996447456,53055.48514644009,-3.0206665525445037e-15,-1.5397804106072372e-15
Velocity Verlet,3.75,5.0,27768.75,1.277615996518581,0.001445475030202471,-0.00012040271361182992,-1.2776159908451965,6.6729626269079745e-09,-0.00018849073119753257,8.881204464268101e-09,0.9999999911187957,10611.189337178419,-5.074719808274766e-15,-2.5196406719027518e-15
Velocity Verlet,3.75,10.0,55537.5,2.5552319827943837,0.00289095004876545,-0.0004816106840319625,-2.55523193740734,2.6858288038056344e-08,-0.00037698146263664967,3.552479300135916e-08,0.9999999644752071,5305.596453997602,-8.45786634712461e-16,-4.1994011198379196e-16
Velocity Verlet,3.75,20.0,111071.25,5.110550158965989,0.005781851207144971,-0.0019265766241406673,-5.110549795825279,3.8530743040610105e-08,-0.0007539756553995858,1.4211413066199955e-07,0.9999998578858693,2652.6584677652236,2.658186566239163e-14,1.3158123508825482e-14
Velocity Verlet,3.75,50.0,277680.0,12.776330762131233,0.014454650722069804,-0.012041208062763754,-12.776325087938599,5.251877155387774e-08,-0.0018849327854013609,8.882348899567124e-07,0.99999911176511,1061.0501057155655,7.334178389578054e-14,3.667476977991783e-14
Velocity Verlet,3.75,100.0,555362.4318623783,25.552626728017103,0.028909302005949888,-0.048164963865120064,-25.55258133413589,-5.271795089356601e-08,-0.0037698621075605843,3.5529686536862837e-06,0.9999964470313464,530.5221738708802,7.370426388208589e-14,3.695472985457369e-14
Velocity Verlet,1.875,1.0,5553.75,0.06388112887638178,7.22741847621177e-05,-3.009281783931388e-07,-0.06388112887567297,9.822542779147625e-11,-9.424585095452187e-06,2.2191187764689618e-11,0.9999999999778084,212280.3162428257,2.416533242035603e-16,2.799600746558613e-16
Velocity Verlet,1.875,5.0,27768.75,0.3194056418335356,0.00036137092087986945,-7.523950023113077e-06,-0.3194056417449181,1.7134880181401968e-09,-4.7122924925702137e-05,5.548896677794419e-10,0.99999999944511,42451.855842174,-1.679490603214744e-14,-8.258822202347909e-15
Velocity Verlet,1.875,10.0,55535.625,0.6388220619423634,0.0007227357352013207,-3.0101912886180645e-05,-0.6388220612331478,1.7598722479306161e-09,-9.42474407708005e-05,2.220385470017022e-09,0.9999999977796147,21221.975614925846,-2.1990452502523986e-14,-1.1058422948906523e-14
Velocity Verlet,1.875,20.0,111073.125,1.2776333230928487,0.001445477551609963,-0.00012041132383040971,-1.2776333174187295,1.3287717592902482e-09,-0.00018849328895953477,8.882233815049421e-09,0.9999999911177658,10610.574460739092,-5.690935784993844e-14,-2.8555927614897854e-14
Velocity Verlet,1.875,50.0,277681.875,3.1940886611367194,0.003613690785464367,-0.0007525800906311591,-3.194088572476563,1.508851710241288e-09,-0.000471234014582933,5.5515149767177674e-08,0.9999999444848501,4244.184256585644,-3.020666552544503e-14,-1.511784403141651e-14
Velocity Verlet,1.875,100.0,555362.4318623783,6.38818767180863,0.0072273754587967275,-0.003010337216462717,-6.388186962520557,-1.0631993063725531e-09,-0.0009424695801953931,2.2206236605502588e-07,0.9999997779376342,2122.0835086465718,-4.398090500504797e-14,-2.1976865860485112e-14
